subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
gi_re_1997_03_22_193_f 759 3 48 1 47 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 1019 15-Apr-2019 16:52:18 8.911572e+01 3.867248e+02 0 1
gi_re_1997_03_22_193_f 759 3 49 1 41 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 1835 15-Apr-2019 16:52:23 -3.456674e+01 -1.941148e+02 1 0
gi_re_1997_03_22_193_f 759 3 50 1 11 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/2_effect.mov 888 15-Apr-2019 16:52:26 4.600479e+02 -9.388410e+01 1 0
gi_re_1997_03_22_193_f 759 3 51 1 59 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 849 15-Apr-2019 16:52:29 6.286887e+00 -3.723197e+02 1 0
gi_re_1997_03_22_193_f 759 3 52 1 44 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 1491 15-Apr-2019 16:52:45 -8.357931e+01 3.543732e+02 1 1
gi_re_1997_03_22_193_f 759 3 53 1 27 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 760 15-Apr-2019 16:52:48 -3.400184e+02 2.853443e+02 1 0
gi_re_1997_03_22_193_f 759 3 54 1 20 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 973 15-Apr-2019 16:52:51 -1.712164e+02 -2.985217e+02 1 0
gi_re_1997_03_22_193_f 759 3 55 1 6 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 871 15-Apr-2019 16:52:55 2.911631e+02 -4.279616e+02 1 0
gi_re_1997_03_22_193_f 759 3 56 1 26 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 1238 15-Apr-2019 16:53:12 1.153750e+02 2.480033e+02 1 1
gi_re_1997_03_22_193_f 759 3 57 1 72 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 759 15-Apr-2019 16:53:15 -2.763102e+02 -2.715823e+01 0 0
gi_re_1997_03_22_193_f 759 3 58 1 45 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 636 15-Apr-2019 16:53:18 1.385479e+02 -3.627203e+02 0 0
gi_re_1997_03_22_193_f 759 3 59 1 60 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 716 15-Apr-2019 16:53:21 -3.639364e+02 1.326298e+02 1 0
gi_re_1997_03_22_193_f 759 3 60 1 56 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 1524 15-Apr-2019 16:53:41 -2.522433e+02 -1.890732e+02 0 1
gi_re_1997_03_22_193_f 759 3 61 1 53 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 877 15-Apr-2019 16:53:44 -3.541214e+02 2.581220e+02 0 0
gi_re_1997_03_22_193_f 759 3 62 1 33 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_effect.mov 1062 15-Apr-2019 16:53:48 -4.865149e+02 -4.310810e+01 1 0
gi_re_1997_03_22_193_f 759 3 63 1 5 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 707 15-Apr-2019 16:53:51 9.335802e+01 4.272430e+02 1 0
gi_re_1997_03_22_193_f 759 3 64 1 4 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 1466 15-Apr-2019 16:54:17 4.999301e+02 -3.156761e+02 1 1
gi_re_1997_03_22_193_f 759 3 65 1 69 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 834 15-Apr-2019 16:54:20 -4.646819e+02 4.832072e+02 0 0
gi_re_1997_03_22_193_f 759 3 66 1 39 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 910 15-Apr-2019 16:54:23 2.982436e+02 -1.178428e+02 0 0
gi_re_1997_03_22_193_f 759 3 67 1 28 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_effect.mov 1072 15-Apr-2019 16:54:26 -1.774714e+02 -3.335964e+02 1 0
gi_re_1997_03_22_193_f 759 3 68 1 1 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_effect.mov 830 15-Apr-2019 16:54:52 4.597866e+02 -1.717855e+02 1 1
gi_re_1997_03_22_193_f 759 3 69 1 67 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 956 15-Apr-2019 16:54:55 2.171222e+02 -3.255175e+02 1 0
gi_re_1997_03_22_193_f 759 3 70 1 38 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 889 15-Apr-2019 16:54:58 1.613789e+02 -4.889221e+02 0 0
gi_re_1997_03_22_193_f 759 3 71 1 63 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 782 15-Apr-2019 16:55:01 1.736049e+02 3.189598e+02 0 0
gi_re_1997_03_22_193_f 759 3 72 1 30 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 561 15-Apr-2019 16:55:04 -1.356025e+02 -4.331102e+02 0 0
